Language/Topic,Name,Course/Project,Link,University/Company/YouTube Page,Ratings,Level,Reviews,Enrolled Students,Payment,Views,Platform
Python,Doug Hellmann梤un by a prominent Python blogger,BLOG,https://doughellmann.com/blog/,NA,NA,NA,NA,NA,u,NA,doughellmann
ML,Mathematics for Machine Learning,SPECIALIZATION,https://www.coursera.org/specializations/mathematics-machine-learning,Imperial College London,4.6,Beginner,9678,NA,P,NA,Coursera
Java,Building Scalable Java Microservices with Spring Boot and Spring Cloud,COURSE,https://www.coursera.org/learn/google-cloud-java-spring,Google Cloud,4.3,Intermediate,687,NA,P,NA,Coursera
AI,Google IT Support,PROFESSIONAL CEFRTIFICATE,https://www.coursera.org/professional-certificates/google-it-support,Google,4.8,Beginner,68766,NA,P,NA,Coursera
Data Structures,Algorithms,SPECIALIZATION,https://www.coursera.org/specializations/algorithms,Stanford University,4.8,Intermediate,4640,NA,P,NA,Coursera
AI,Blockchain Scalability and its Foundations in Distributed Systems,COURSE,https://www.coursera.org/learn/blockchain-scalability,The University of Sydney,NA,Beginner,NA,NA,P,NA,Coursera
Java,Java Programming: Principles of Software Design,COURSE,https://www.coursera.org/learn/java-programming-design-principles,Duke University,4.6,Beginner,1171,NA,P,NA,Coursera
C,C for Everyone: Programming Fundamentals,COURSE,https://www.coursera.org/learn/c-for-everyone,"University of California, Santa Cruz",4.5,Beginner,3097,NA,P,NA,Coursera
Data Structures,Data Structures and Algorithms,SPECIALIZATION,https://www.coursera.org/specializations/data-structures-algorithms,National Research University Higher School of Economics,4.6,Intermediate,11733,NA,P,NA,Coursera
Data Structures,Algorithms,SPECIALIZATION,https://www.coursera.org/specializations/algorithms,Stanford University,4.8,Intermediate,4640,NA,P,NA,Coursera
Data Structures,"Algorithms, Part I",COURSE,https://www.coursera.org/learn/algorithms-part1,Princeton University,4.9,Intermediate,7985,NA,P,NA,Coursera
Data Structures,Data Structures,COURSE,https://www.coursera.org/learn/data-structures,University of California San Diego,4.6,Intermediate,3966,NA,P,NA,Coursera
Data Structures,Object Oriented Java Programming: Data Structures and Beyond,SPECIALIZATION,https://www.coursera.org/specializations/java-object-oriented,University of California San Diego,4.7,Intermediate,6061,NA,P,NA,Coursera
Data Structures,Introduction to Discrete Mathematics for Computer Science,SPECIALIZATION,https://www.coursera.org/specializations/discrete-mathematics,National Research University Higher School of Economics,4.5,Beginner,2383,NA,P,NA,Coursera
Data Structures,Google IT Support,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/google-it-support,Google,4.8,Beginner,68766,NA,P,NA,Coursera
